State,avg_inches_snow,Population
Vermont ,89.25,626358
Maine,77.28,1328535
New Hampshire,71.44,1321069
Colorado,67.3,5197580
Alaska,64.46,728300
Michigan,60.66,9889024
New York,55.32,19594330
Massachusetts,51.05,6657291
Wyoming,51,575251
Wisconsin,45.79,5724692
Minnesota,43.43,5383661
Utah ,40.99,2858111
Rhode Island,38.85,1053252
Connecticut,37.85,3592053
South Dakota,37.43,834708
Montana,37.28,1006370
North Dakota,37,704925
Idaho,36.49,1599464
Pennsylvania,35.84,12758729
Iowa,31.27,3078116
Nebraska,28.12,18555617
Ohio,26.63,11560380
West Virginia,25.13,1853881
New Jersey,23.73,8874374
New Mexico,22.74,2080085
Indiana,21.93,6542411
Illinois,21.75,12868747
Maryland,20.61,5887776
Nevada,18.83,2761584
District of Columbia,17.61,633736
Delaware,16.94,917060
Washington,15.57,6899123
Kansas,15.42,2882946
Virginia,14.85,8185131
Missouri,12.67,6028076
Oregon,10.91,3900343
Kentucky,8.83,4383272
Oklahoma,5.88,3818851
North Carolina,5.03,9750405
Arizona,4.76,6561516
Tennessee,4.61,6451365
Arkansas,4.04,2947036
California,3.76,38066920
South Carolina,1.5,4727273
Texas,1.36,26092033
Georgia,0.76,9907756
Mississippi,0.71,2984345
Alabama,0.57,4817678
Louisiana,0.2,4601049
Florida,0.01,19361792
Hawaii,0,1392704
